Date,Open,High,Low,Close,Volume
2024-01-02,149.92,150.01,149.18,149.71,11870123
2024-01-03,148.86,149.52,146.83,147.23,5086053
2024-01-04,147.74,148.68,147.66,148.20,11038890
2024-01-05,148.11,149.25,146.24,146.95,4862388
2024-01-08,146.31,147.52,145.95,147.29,13989245
2024-01-09,147.45,148.63,146.28,147.09,10595769
2024-01-10,146.43,149.40,145.98,147.47,8433930
2024-01-11,147.20,148.28,143.13,144.10,10342580
2024-01-12,143.97,144.05,143.28,143.87,5566002
2024-01-15,144.06,144.37,143.06,144.19,8302388
2024-01-16,144.41,144.59,141.96,143.64,11021139
2024-01-17,143.47,143.53,142.28,142.70,8442772
2024-01-18,142.66,146.17,142.28,145.14,12891378
2024-01-19,144.83,145.70,144.71,145.08,7370312
2024-01-22,146.09,147.61,145.64,147.15,11092211
2024-01-23,147.75,148.31,144.53,144.68,7167624
2024-01-24,144.55,145.88,142.56,143.34,8634244
2024-01-25,144.80,146.32,144.78,146.00,5252317
2024-01-26,146.39,148.54,145.65,148.34,5409865
2024-01-29,149.34,151.30,144.64,144.99,13063485
2024-01-30,145.04,148.24,144.22,147.86,7361521
2024-01-31,147.69,148.44,146.87,147.19,13956632
2024-02-01,146.95,148.44,146.95,147.97,13561227
2024-02-02,147.70,149.42,146.92,148.77,6267256
2024-02-05,148.22,148.60,147.32,148.43,4805490
2024-02-06,148.51,149.89,147.74,148.40,12783989
2024-02-07,148.54,149.84,147.12,148.37,5622273
2024-02-08,148.38,148.47,146.50,147.76,6032558
2024-02-09,147.84,147.99,144.20,145.67,8862124
2024-02-12,146.20,146.83,145.72,146.77,7792476
2024-02-13,146.75,150.17,146.41,149.34,5961640
2024-02-14,149.74,150.51,149.46,150.04,6914086
2024-02-15,150.32,152.88,148.70,152.66,13052499
2024-02-16,152.81,154.33,152.34,154.07,6070193
2024-02-19,153.84,157.44,153.61,156.09,12551971
2024-02-20,156.29,157.39,155.94,156.64,9283436
2024-02-21,155.95,156.30,155.59,155.63,8665164
2024-02-22,156.41,156.42,153.97,154.47,9106690
2024-02-23,154.65,154.65,151.64,153.37,9054055
2024-02-26,152.93,157.26,152.02,154.47,12825864
2024-02-27,154.26,158.74,153.88,158.46,9462154
2024-02-28,158.93,160.14,158.65,159.41,14258964
2024-02-29,160.24,161.05,159.74,159.97,13990249
2024-03-01,159.95,162.54,159.50,162.45,7648395
2024-03-04,162.32,166.20,161.97,164.88,5348786
2024-03-05,164.59,164.88,162.24,162.62,14023477
2024-03-06,162.77,164.93,162.09,163.92,7057957
2024-03-07,164.63,167.73,163.52,167.70,10746062
2024-03-08,168.03,169.97,165.47,165.75,6760888
2024-03-11,165.39,166.37,164.38,165.13,7679971
2024-03-12,165.88,166.71,164.19,164.59,14385162
2024-03-13,164.59,165.55,163.96,165.41,13759290
2024-03-14,164.71,168.07,164.36,167.74,12803951
2024-03-15,167.08,168.29,166.24,166.33,4875101
2024-03-18,165.95,167.71,164.27,166.69,6089194
2024-03-19,166.84,168.24,166.62,167.61,10606366
2024-03-20,167.27,167.71,166.56,167.05,9489905
2024-03-21,166.51,170.50,166.03,169.76,7456130
2024-03-22,169.78,173.77,169.28,173.33,11915816
2024-03-25,173.15,173.49,171.10,171.12,13277821
2024-03-26,170.76,173.51,169.78,172.93,6221700
2024-03-27,173.25,175.79,172.33,174.54,13062744
2024-03-28,174.33,175.54,173.92,175.54,12289115
2024-03-29,175.18,177.21,174.83,176.83,13726857
2024-04-01,175.74,180.29,174.06,179.60,5037949
2024-04-02,179.12,180.58,178.33,179.01,13095014
2024-04-03,178.62,179.40,178.20,179.30,13172801
2024-04-04,179.00,180.42,178.09,180.02,7729832
2024-04-05,179.64,180.72,179.56,180.13,7951314
2024-04-08,179.07,183.06,177.81,182.82,8636912
2024-04-09,182.74,185.92,182.57,185.49,14115845
2024-04-10,186.78,189.37,186.33,189.32,8971812
2024-04-11,188.84,189.72,187.93,188.63,8497876
2024-04-12,188.43,188.44,186.90,186.95,13685521
2024-04-15,186.73,186.80,181.96,183.32,8296526
2024-04-16,183.67,187.06,182.97,186.67,12940946
2024-04-17,186.20,186.55,185.02,185.90,8663043
2024-04-18,186.18,188.12,184.85,185.91,11302252
2024-04-19,185.47,188.42,184.36,188.04,4803897
2024-04-22,188.62,189.83,187.47,188.13,9263886
2024-04-23,188.27,190.27,186.52,186.86,12441837
2024-04-24,187.07,188.90,186.94,187.58,8017807
2024-04-25,186.73,188.65,186.14,188.34,6711647
